"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2009","1.115,10","1.126,60","1.127,60","1.114,80","","-1,00%"
"30/12/2009","1.126,40","1.125,50","1.126,40","1.121,90","","0,02%"
"29/12/2009","1.126,20","1.128,50","1.130,40","1.126,10","","-0,14%"
"28/12/2009","1.127,80","1.127,50","1.130,40","1.123,50","","0,12%"
"24/12/2009","1.126,50","1.121,10","1.126,50","1.121,10","","0,53%"
"23/12/2009","1.120,60","1.118,80","1.121,60","1.116,00","","0,23%"
"22/12/2009","1.118,00","1.114,50","1.120,30","1.114,50","","0,36%"
"21/12/2009","1.114,00","1.105,30","1.117,70","1.105,30","","1,04%"
"18/12/2009","1.102,50","1.097,90","1.103,70","1.093,90","","0,58%"
"17/12/2009","1.096,10","1.106,40","1.106,40","1.095,90","","-1,18%"
"16/12/2009","1.109,20","1.108,60","1.116,20","1.108,00","","0,12%"
"15/12/2009","1.107,90","1.114,10","1.114,10","1.105,30","","-0,56%"
"14/12/2009","1.114,10","1.107,80","1.114,80","1.107,80","","0,70%"
"11/12/2009","1.106,40","1.104,00","1.108,50","1.101,30","","0,37%"
"10/12/2009","1.102,30","1.098,70","1.106,20","1.098,70","","0,57%"
"09/12/2009","1.096,00","1.091,10","1.097,00","1.085,90","","0,38%"
"08/12/2009","1.091,90","1.103,00","1.103,00","1.088,60","","-1,02%"
"07/12/2009","1.103,20","1.105,50","1.110,70","1.100,80","","-0,25%"
"04/12/2009","1.106,00","1.100,40","1.119,10","1.096,50","","0,55%"
"03/12/2009","1.099,90","1.110,60","1.117,30","1.098,70","","-0,84%"
"02/12/2009","1.109,20","1.109,00","1.115,60","1.105,30","","0,03%"
"01/12/2009","1.108,90","1.098,90","1.112,30","1.098,90","","1,21%"
"30/11/2009","1.095,60","1.091,10","1.097,20","1.086,20","","0,38%"
"27/11/2009","1.091,50","1.105,50","1.105,50","1.083,70","","-1,72%"
"25/11/2009","1.110,60","1.106,50","1.111,20","1.104,80","","0,44%"
"24/11/2009","1.105,70","1.105,80","1.107,60","1.097,60","","-0,05%"
"23/11/2009","1.106,20","1.094,90","1.112,40","1.094,90","","1,36%"
"20/11/2009","1.091,40","1.094,70","1.094,70","1.086,80","","-0,32%"
"19/11/2009","1.094,90","1.106,40","1.106,40","1.088,40","","-1,34%"
"18/11/2009","1.109,80","1.109,40","1.111,10","1.102,70","","-0,05%"
"17/11/2009","1.110,30","1.109,20","1.110,50","1.102,20","","0,09%"
"16/11/2009","1.109,30","1.094,10","1.113,70","1.094,10","","1,44%"
"13/11/2009","1.093,50","1.087,60","1.097,80","1.085,30","","0,58%"
"12/11/2009","1.087,20","1.098,30","1.102,00","1.084,90","","-1,03%"
"11/11/2009","1.098,50","1.096,00","1.105,40","1.093,80","","0,50%"
"10/11/2009","1.093,00","1.091,90","1.096,40","1.087,40","","-0,01%"
"09/11/2009","1.093,10","1.072,30","1.093,20","1.072,30","","2,23%"
"06/11/2009","1.069,30","1.065,00","1.071,50","1.059,30","","0,25%"
"05/11/2009","1.066,60","1.047,30","1.066,70","1.047,30","","1,92%"
"04/11/2009","1.046,50","1.047,10","1.061,00","1.045,20","","0,11%"
"03/11/2009","1.045,40","1.040,90","1.046,40","1.033,90","","0,24%"
"02/11/2009","1.042,90","1.036,20","1.052,20","1.029,40","","0,65%"
"30/10/2009","1.036,20","1.065,40","1.065,40","1.033,40","","-2,80%"
